Date,Close/Last,Volume,Open,High,Low
03/10/2025,$597.99,21999940,$608.07,$610.1059,$586.8701
03/07/2025,$625.66,21375670,$625.37,$634.79,$600.61
03/06/2025,$627.93,13446450,$648.00,$650.5625,$624.11
03/05/2025,$656.47,13770030,$641.00,$659.50,$637.66
03/04/2025,$640.00,21495210,$645.51,$649.75,$623.65
03/03/2025,$655.05,10843760,$673.675,$681.25,$650.8439
02/28/2025,$668.20,17534170,$658.04,$669.63,$642.6017
02/27/2025,$658.24,12500010,$682.45,$688.6469,$657.57
02/26/2025,$673.70,14488710,$659.65,$683.0078,$658.00
02/25/2025,$657.50,20579660,$665.972,$668.00,$641.86
02/24/2025,$668.13,15676990,$686.28,$687.27,$662.45
02/21/2025,$683.55,15660360,$696.58,$703.87,$682.36
02/20/2025,$694.84,12587410,$697.275,$705.63,$693.64
02/19/2025,$703.77,17535480,$704.095,$707.00,$695.39
02/18/2025,$716.37,21938700,$736.00,$737.00,$706.44
02/14/2025,$736.67,16901250,$726.14,$740.91,$725.62
02/13/2025,$728.56,12569060,$721.52,$729.00,$718.04
02/12/2025,$725.38,12016520,$715.30,$727.10,$712.60
02/11/2025,$719.80,12997960,$713.32,$723.66,$710.04
